HOST    Label   PROB    KERNEL  ARCH    N   NB  NTHR    ACC STMXRK  GF/s    TCOMP   TCHOL   IAVG    IMAX    FAVG    FMAX
V100    CUSOLVER    0  0  NA  45000   NA  NA  NA  NA  6475.97 NA  4.7 NA  NA  NA  NA
V100    R-STATIC    2   sqexp   CUDA    44032   1024    1   1.00E-08    80  531.06  2.855   53.584  25.3    39  26.6    55
V100    R-STATIC    2   sqexp   CUDA    44800   1280    1   1.00E-08    80  919.5   2.78    32.596  27.5    45  29.8    61
V100    R-STATIC    2   sqexp   CUDA    44544   1536    1   1.00E-08    80  1424.16 2.941   20.687  29.6    47  34.1    65
V100    R-STATIC    2   sqexp   CUDA    44800   1792    1   1.00E-08    80  2009.84 2.511   14.913  31.7    51  37.2    72
V100    R-STATIC    2   sqexp   CUDA    43008   2048    1   1.00E-08    80  2779.3  2.867   9.541   34.4    55  41.6    72
V100    R-STATIC    2   sqexp   CUDA    43776   2304    1   1.00E-08    80  3249.65 2.907   8.605   36  57  43  79
V100    R-STATIC    2   sqexp   CUDA    44032   1024    1   1.00E-08    100 528.69  3.081   53.825  25.3    39  26.6    55
V100    R-STATIC    2   sqexp   CUDA    44800   1280    1   1.00E-08    100 912.15  3.045   32.858  27.5    45  29.8    61
V100    R-STATIC    2   sqexp   CUDA    44544   1536    1   1.00E-08    100 1424.16 3.176   20.686  29.6    47  34.1    65
V100    R-STATIC    2   sqexp   CUDA    44800   1792    1   1.00E-08    100 1956.24 2.872   15.321  31.7    51  37.2    71
V100    R-STATIC    2   sqexp   CUDA    43008   2048    1   1.00E-08    100 2737.3  2.827   9.687   34.4    55  41.6    72
V100    R-STATIC    2   sqexp   CUDA    43776   2304    1   1.00E-08    100 3285.14 2.903   8.512   36  57  43  80
V100    R-STATIC    2   sqexp   CUDA    43520   2560    1   1.00E-08    100 3995.66 3.055   6.876   38.6    61  47.6    82
V100    R-STATIC    2   sqexp   CUDA    42240   2816    1   1.00E-08    100 4770.19 2.978   5.266   39.8    63  49.4    86
V100    R-STATIC    2   sqexp   CUDA    43008   3072    1   1.00E-08    100 5412.7  3.048   4.899   42.1    65  52.3    91
V100    R-STATIC    2   sqexp   CUDA    43264   3328    1   1.00E-08    100 6052.05 2.605   4.46    44.9    64  56.2    92
V100    R-STATIC    2   sqexp   CUDA    43008   3584    1   1.00E-08    100 6433.86 3.311   4.121   45.4    73  56.3    102
V100    R-STATIC    2   sqexp   CUDA    40960   4096    1   1.00E-08    100 6608.62 3.497   3.466   50.4    69  62.4    100
V100    R-STATIC    2   sqexp   CUDA    43520   4352    1   1.00E-08    100 7886.51 3.815   3.484   50.6    70  63.1    101
V100    R-STATIC    2   sqexp   CUDA    40960   5120    1   1.00E-08    100 6991.98 4.009   3.276   52  80  64.4    102
V100    R-STATIC    2   sqexp   CUDA    48384   5376    1   1.00E-08    200 9367.41 5.34    4.031   56  87  71.7    116
V100    R-STATIC    2   sqexp   CUDA    45056   5632    1   1.00E-08    200 9234.88 4.921   3.301   52  80  66.2    108
V100    R-STATIC    2   sqexp   CUDA    47104   5888    1   1.00E-08    200 10006.05    5.964   3.482   50.6    80  64.6    110
V100    R-STATIC    2   sqexp   CUDA    49152   6144    1   1.00E-08    200 10023.4 6.17    3.949   51  80  65.2    109
